Remark=,"""17:41:07 CO2 Mixer -> OFF""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:41:08 Coolers: Tblock -> 20.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:41:08 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,17:44:47,wheat,1,335.0001298,0,-26.3365361,-0.002391279,-17471.07668,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-11.43966934,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.021933683,0.907478529,21.36876678,2,4.644859791,1,9.289719582,20.70502853,21.36876678,20.02024269,1.143702388,18.72833443,16.29745865,16.28305244,67.17853546,67.13542175,299.5450439,2.54574275,8.969154358,101.0609512,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.49772522,-2.19337E-05,294.5187668,293.8550285,0.407318831,-0.022598027,2.553059298,25.26256943,8.97951699,21.03689766,2.501597027,-0.002391895,1.645580769,0.856016258,-0.001494879,-1765.643629,-932.8686836,63.69187687,22.55561074,-0.743683438,0,2.214796193,0,#DIV/0!,#DIV/0!
127,17:44:49,wheat,1,336.5001297,0,-25.80327233,-0.002398251,-17067.48575,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-11.22078987,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.021994405,0.907343372,21.36812401,2,4.644859791,1,9.289719582,20.70768547,21.36812401,20.02757263,1.145459414,18.3742485,16.29786682,16.28342056,67.17556,67.13137817,299.5413818,2.540775537,8.966497421,101.060791,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497706909,-2.19944E-05,294.518124,293.8576855,0.406524077,-0.02245263,2.552958734,25.26161441,8.978193846,21.03790474,2.501751809,-0.002398871,1.645615363,0.856136446,-0.001499239,-1724.853611,-928.8807511,63.69583811,22.1240299,-0.742885028,0,2.210474718,0,#DIV/0!,#DIV/0!
128,17:44:50,wheat,1,337.5001296,0,-24.30117965,-0.002390627,-16125.20902,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-10.53421284,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.021921607,0.907223652,21.36781883,2,4.644859791,1,9.289719582,20.7104435,21.36781883,20.03255844,1.145856857,17.37186241,16.29855347,16.28415489,67.17302704,67.12779236,299.5384216,2.54247427,8.967468262,101.0606537,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497692108,-2.19216E-05,294.5178188,293.8604435,0.406795874,-0.022335658,2.552910991,25.26117631,8.977021416,21.03913116,2.501940313,-0.002391243,1.645687338,0.856252975,-0.001494471,-1629.624164,-928.2372055,63.69997371,20.90335679,-0.740543502,0,2.211952615,0,#DIV/0!,#DIV/0!
129,17:44:51,wheat,1,338.5001295,0,-21.99471083,-0.0024026,-14521.82066,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-9.500020172,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.022028526,0.907102734,21.36768341,2,4.644859791,1,9.289719582,20.71318626,21.36768341,20.03520966,1.145128012,15.83146191,16.29963303,16.28516388,67.17121124,67.12430573,299.5309753,2.540189505,8.969412804,101.0605164,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497654877,-2.20285E-05,294.5176834,293.8631863,0.406430312,-0.02219859,2.552889804,25.261001,8.975837117,21.04043484,2.502140704,-0.002403222,1.645787071,0.856353634,-0.001501958,-1467.582695,-917.2760386,63.70444849,19.02777579,-0.736376621,0,2.209964869,0,#DIV/0!,#DIV/0!
130,17:44:52,wheat,1,340.0001294,0,-19.73477084,-0.002315706,-13519.17062,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-8.490229243,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.021229662,0.90701695,21.36780548,2,4.644859791,1,9.289719582,20.71580315,21.36780548,20.03634644,1.143039703,14.32056332,16.3001709,16.28622627,67.16795349,67.12109375,299.5263062,2.536353111,8.959382057,101.0603638,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497631531,-2.12297E-05,294.5178055,293.8658031,0.405816489,-0.022231374,2.552908902,25.26122811,8.975001834,21.04180431,2.502351225,-0.002316283,1.645891952,0.856459274,-0.001447625,-1366.252301,-944.0390243,63.70846806,17.18845835,-0.731462934,0,2.206627207,0,#DIV/0!,#DIV/0!
131,17:44:53,wheat,1,341.0001294,0,-17.74408555,-0.002232532,-12608.77811,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-7.583434264,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.020466048,0.906973907,21.36798477,2,4.644859791,1,9.289719582,20.71815872,21.36798477,20.03604889,1.142845273,12.99108124,16.30039978,16.28695679,67.16452789,67.11781311,299.5273132,2.537910223,8.954295158,101.0601959,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497636566,-2.0466E-05,294.5179848,293.8681587,0.406065627,-0.022268247,2.552936951,25.26154761,8.974590827,21.04307175,2.502546074,-0.002233069,1.645963044,0.85658303,-0.00139562,-1274.245586,-970.5718774,63.71089454,15.56968604,-0.726085009,0,2.207981894,0,#DIV/0!,#DIV/0!
132,17:44:54,wheat,1,342.0001293,0,-16.00239131,-0.002098908,-12095.85262,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-6.800916529,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.019240622,0.906963152,21.36827469,2,4.644859791,1,9.289719582,20.72020721,21.36827469,20.03469467,1.141678572,11.8269434,16.30017471,16.28753662,67.16072845,67.11437988,299.5268555,2.535559416,8.951566696,101.0600433,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497634277,-1.92406E-05,294.5182747,293.8702072,0.405689497,-0.022402918,2.552982308,25.26203457,8.974497948,21.04424095,2.502725833,-0.002099382,1.646019157,0.856706676,-0.001312071,-1222.40739,-1022.737001,63.71247193,14.15244182,-0.720407065,0,2.205936692,0,#DIV/0!,#DIV/0!
133,17:44:56,wheat,1,343.5001292,0,-14.46732656,-0.001999421,-11480.18156,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-6.121030169,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.018328734,0.906976486,21.36854362,2,4.644859791,1,9.289719582,20.72184944,21.36854362,20.03259087,1.142361522,10.80266571,16.2998848,16.28784561,67.1568222,67.11087036,299.525238,2.528934717,8.950051308,101.0598907,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.49762619,-1.83287E-05,294.5185436,293.8718494,0.404629546,-0.022503424,2.553024384,25.26248905,8.974643441,21.04519653,2.502872757,-0.001999851,1.646047898,0.856824859,-0.001249868,-1160.185894,-1062.717469,63.71291103,12.90508556,-0.714257558,0,2.200173204,0,#DIV/0!,#DIV/0!
134,17:44:57,wheat,1,344.5001291,0,-13.11379775,-0.001860364,-11184.70843,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-5.520378832,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.017053782,0.906976713,21.36881256,2,4.644859791,1,9.289719582,20.72307968,21.36881256,20.03012657,1.14195776,9.89855957,16.29948616,16.2882843,67.15293884,67.10813141,299.5218201,2.52227354,8.948753357,101.0597382,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.4976091,-1.70538E-05,294.5188126,293.8730797,0.403563757,-0.022682432,2.55306646,25.26294354,8.974659241,21.04594612,2.502988014,-0.001860737,1.646089747,0.856898268,-0.001162927,-1130.323705,-1129.932931,63.7140267,11.804282,-0.70782184,0,2.19437798,0,#DIV/0!,#DIV/0!
135,17:44:58,wheat,1,345.500129,0,-11.93137998,-0.001764632,-10728.76972,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-4.97974581,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.016176694,0.907011516,21.36924362,2,4.644859791,1,9.289719582,20.72402191,21.36924362,20.02776337,1.139006972,9.106135368,16.29925156,16.28862572,67.1497345,67.10580444,299.5188904,2.523181915,8.938605309,101.0596237,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497594452,-1.61767E-05,294.5192436,293.8740219,0.403709097,-0.022808564,2.553133902,25.2636395,8.975013784,21.04663277,2.503093598,-0.001764967,1.646122386,0.856971212,-0.001103074,-1084.245431,-1178.191328,63.71394765,10.84002656,-0.701285477,0,2.195168266,0,#DIV/0!,#DIV/0!
136,17:44:59,wheat,1,347.0001289,0,-10.89345661,-0.001663264,-10392.95237,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-4.497576984,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.015247442,0.907020905,21.36949158,2,4.644859791,1,9.289719582,20.72471428,21.36949158,20.02567673,1.135350347,8.409435272,16.29894447,16.28892899,67.14705658,67.10378265,299.5176697,2.528425694,8.932168007,101.0595474,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497588348,-1.52474E-05,294.5194916,293.8747143,0.404548102,-0.022943587,2.553172697,25.26404245,8.975113469,21.04710293,2.503165895,-0.001663562,1.646151791,0.857014104,-0.001039699,-1050.307063,-1235.86805,63.71450632,9.992493436,-0.69459261,0,2.199730353,0,#DIV/0!,#DIV/0!
137,17:45:00,wheat,1,348.0001289,0,-9.977929801,-0.001568524,-10094.92277,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-4.090492232,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.014379264,0.907049159,21.36985588,2,4.644859791,1,9.289719582,20.72526932,21.36985588,20.02395058,1.132120728,7.794846535,16.298666,16.28922081,67.14429474,67.10188293,299.5183105,2.522791624,8.930332184,101.0595016,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497591553,-1.43793E-05,294.5198559,293.8752693,0.403646651,-0.023085608,2.553229696,25.26461792,8.975397108,21.0475626,2.503236581,-0.001568789,1.646180537,0.857056044,-0.00098047,-1020.187864,-1295.076526,63.71454016,9.244858574,-0.687667858,0,2.194828713,0,#DIV/0!,#DIV/0!
138,17:45:01,wheat,1,349.0001288,0,-9.176810042,-0.001473513,-9883.515753,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-3.736814818,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.013508186,0.90705258,21.37014198,2,4.644859791,1,9.289719582,20.72566414,21.37014198,20.02262115,1.131562471,7.259324551,16.29851151,16.28963852,67.14202118,67.10058594,299.5190735,2.515145302,8.939101219,101.0594482,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497595367,-1.35082E-05,294.520142,293.8756641,0.402423239,-0.02323276,2.553274461,25.26507422,8.975435705,21.04790306,2.503288937,-0.001473747,1.646221881,0.857067056,-0.000921071,-998.8226487,-1361.492476,63.71539444,8.592916318,-0.68044893,0,2.188176413,0,#DIV/0!,#DIV/0!
139,17:45:03,wheat,1,350.5001287,0,-8.472449336,-0.001379054,-9750.378999,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-3.425148327,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.012642962,0.90711244,21.37067986,2,4.644859791,1,9.289719582,20.72597504,21.37067986,20.02190208,1.129475832,6.786863327,16.29818726,16.28988266,67.13889313,67.09880829,299.5211182,2.507635117,8.957832336,101.0594254,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497605591,-1.2643E-05,294.5206799,293.875975,0.40122161,-0.023392951,2.553358621,25.26591272,8.97603006,21.04832745,2.503354199,-0.001379259,1.646246181,0.857108019,-0.000862018,-985.3676986,-1436.654686,63.71454487,8.018096036,-0.673249922,0,2.181642551,0,#DIV/0!,#DIV/0!
140,17:45:04,wheat,1,351.5001286,0,-7.861053714,-0.001339925,-9311.077033,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-3.144851047,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.012285906,0.907238665,21.37151337,2,4.644859791,1,9.289719582,20.72618866,21.37151337,20.02170372,1.126726627,6.375814915,16.29800034,16.28993034,67.1365509,67.09696198,299.5237122,2.507676363,8.967299461,101.0593872,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497618561,-1.22859E-05,294.5215134,293.8761887,0.401228209,-0.023479314,2.553489043,25.26721281,8.977282467,21.04885101,2.503434716,-0.001340119,1.646250378,0.857184338,-0.000837557,-940.9717392,-1460.374424,63.71147721,7.51819843,-0.666169361,0,2.181678436,0,#DIV/0!,#DIV/0!
141,17:45:05,wheat,1,352.5001286,0,-7.312799468,-0.001286227,-9023.510912,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-2.899699651,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.011795289,0.907376878,21.37244034,2,4.644859791,1,9.289719582,20.72633362,21.37244034,20.02175331,1.122049212,6.004998207,16.29775429,16.29000664,67.13443756,67.09568787,299.5267944,2.502359629,8.974393845,101.0593338,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497633972,-1.17953E-05,294.5224403,293.8763336,0.400377532,-0.023598294,2.553634096,25.26866149,8.978654854,21.04938698,2.503517142,-0.001286406,1.646257218,0.857259924,-0.000803987,-911.9100013,-1502.666712,63.70819199,7.067708356,-0.659174387,0,2.177052877,0,#DIV/0!,#DIV/0!
142,17:45:06,wheat,1,354.0001285,0,-6.827388276,-0.001229099,-8816.343276,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-2.681365301,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.011272737,0.907489249,21.37328148,2,4.644859791,1,9.289719582,20.72644806,21.37328148,20.02194214,1.120889425,5.679661751,16.29761505,16.29021072,67.13278198,67.09438324,299.530304,2.498036146,8.978443146,101.0592499,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.49765152,-1.12727E-05,294.5232815,293.8764481,0.399685774,-0.023719717,2.553765725,25.26998497,8.979774242,21.04986477,2.503590624,-0.001229261,1.646276476,0.857314148,-0.000768274,-890.9730382,-1552.265551,63.7057633,6.671831008,-0.651910969,0,2.173291447,0,#DIV/0!,#DIV/0!
143,17:45:07,wheat,1,355.0001284,0,-6.402772128,-0.001122059,-9057.284435,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-2.484766334,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.010291285,0.907522156,21.37347412,2,4.644859791,1,9.289719582,20.72655487,21.37347412,20.02208519,1.119717479,5.39494276,16.29696274,16.29020309,67.12973022,67.09282684,299.5317078,2.499262333,8.979535103,101.0591278,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497658539,-1.02913E-05,294.5234741,293.8765549,0.399881964,-0.023888172,2.553795872,25.2703138,8.980110707,21.0500145,2.503613651,-0.001122194,1.646273717,0.857339935,-0.000701359,-915.3212653,-1678.847179,63.70528799,6.325405978,-0.644844685,0,2.17435823,0,#DIV/0!,#DIV/0!
144,17:45:08,wheat,1,356.0001283,0,-6.02585651,-0.001010618,-9464.646025,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-2.314121389,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.00926914,0.907529418,21.37350273,2,4.644859791,1,9.289719582,20.72670746,21.37350273,20.02227402,1.118084788,5.141628742,16.29627609,16.29018784,67.12661743,67.09152985,299.5321655,2.49634552,8.980017662,101.0590515,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497660828,-9.26914E-06,294.5235027,293.8767075,0.399415274,-0.024057206,2.55380035,25.27037718,8.980189348,21.05010509,2.503627585,-0.001010728,1.646270932,0.857356654,-0.000631695,-956.4881502,-1840.787521,63.70549574,6.017317854,-0.637958947,0,2.171820602,0,#DIV/0!,#DIV/0!
145,17:45:10,wheat,1,357.5001282,0,-5.686639675,-0.000930198,-9704.464213,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-2.158141549,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.008531535,0.907534951,21.37346268,2,4.644859791,1,9.289719582,20.72688293,21.37346268,20.02243996,1.116467834,4.913519859,16.295681,16.29007721,67.12362671,67.08998108,299.5314026,2.496102333,8.983411789,101.0590134,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497657013,-8.53154E-06,294.5234627,293.8768829,0.399376364,-0.024172755,2.553794081,25.2703247,8.980247487,21.05017281,2.503637999,-0.000930292,1.64625913,0.857378869,-0.000581424,-980.7235786,-1975.053422,63.70550263,5.739913325,-0.631142351,0,2.17160903,0,#DIV/0!,#DIV/0!
146,17:45:11,wheat,1,358.5001282,0,-5.388539948,-0.000931704,-9180.812762,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-2.02352682,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.008545974,0.907601369,21.37376595,2,4.644859791,1,9.289719582,20.72707939,21.37376595,20.02258301,1.115040541,4.713080406,16.29550171,16.28988838,67.12107849,67.08778381,299.528656,2.49282527,8.986241341,101.059021,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.49764328,-8.54597E-06,294.5237659,293.8770794,0.398852034,-0.024176875,2.553841541,25.27079241,8.980904032,21.05042267,2.503676428,-0.000931798,1.646240172,0.857436256,-0.000582365,-927.8039497,-1947.943165,63.70350989,5.496153444,-0.624562089,0,2.168757985,0,#DIV/0!,#DIV/0!
147,17:45:12,wheat,1,360.000128,0,-5.107121868,-0.000963565,-8413.393252,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-1.893191364,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.008839176,0.907696911,21.37429428,2,4.644859791,1,9.289719582,20.72729874,21.37429428,20.02272606,1.115932584,4.526097298,16.29556465,16.28975868,67.11914063,67.08631897,299.5258179,2.493582964,8.986679077,101.0590363,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497629089,-8.83918E-06,294.5242943,293.8772987,0.398973265,-0.024140018,2.553924225,25.27160677,8.981848087,21.05079651,2.503733925,-0.000963665,1.646227313,0.857506612,-0.000602282,-850.2494137,-1858.862658,63.70072702,5.268274116,-0.617521733,0,2.169417179,0,#DIV/0!,#DIV/0!
148,17:45:13,wheat,1,361.000128,0,-4.857419017,-0.000982794,-7845.320924,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-1.774612507,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.009016257,0.907764311,21.37471008,2,4.644859791,1,9.289719582,20.72753143,21.37471008,20.02283478,1.115215302,4.358665943,16.2956543,16.28973198,67.11730194,67.08482361,299.5241089,2.498469353,8.983275414,101.0590591,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497620544,-9.01626E-06,294.5247101,293.8775314,0.399755088,-0.024114926,2.553989299,25.27224497,8.982512986,21.05112076,2.503783797,-0.000982898,1.646224988,0.857558809,-0.000614302,-792.8407512,-1799.936271,63.69887014,5.064555461,-0.610936351,0,2.173668337,0,#DIV/0!,#DIV/0!
149,17:45:14,wheat,1,362.0001279,0,-4.63586334,-0.0009897,-7435.142799,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-1.668275676,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.009080168,0.907818648,21.37510109,2,4.644859791,1,9.289719582,20.7277832,21.37510109,20.0229435,1.116825938,4.212327957,16.2957592,16.28979492,67.11573029,67.08332062,299.5250244,2.505073547,8.983633995,101.0590897,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497625122,-9.08017E-06,294.5251011,293.8777832,0.400811759,-0.024106032,2.554050493,25.27284287,8.983047945,21.05144215,2.503833229,-0.000989806,1.646231846,0.857601383,-0.000618619,-751.3887628,-1765.09115,63.69752782,4.886020576,-0.604363059,0,2.179413986,0,#DIV/0!,#DIV/0!
150,17:45:16,wheat,1,363.5001278,0,-4.431038498,-0.000980502,-7173.292002,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-1.569869548,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.008995985,0.907839644,21.37526321,2,4.644859791,1,9.289719582,20.72808838,21.37526321,20.02305222,1.120479226,4.079205036,16.29574966,16.2898407,67.11390686,67.08197784,299.5259094,2.512133837,8.988294601,101.0590744,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497629547,-8.99599E-06,294.5252632,293.8780884,0.401941405,-0.024109971,2.554075867,25.27309776,8.983257064,21.0516758,2.503869167,-0.000980606,1.646236223,0.857632943,-0.000612869,-724.9262501,-1758.502438,63.69707924,4.723132113,-0.597578479,0,2.185556438,0,#DIV/0!,#DIV/0!
151,17:45:17,wheat,1,364.5001277,0,-4.250803554,-0.000892548,-7560.031844,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-1.488804834,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.008188775,0.907820748,21.37530899,2,4.644859791,1,9.289719582,20.72833443,21.37530899,20.02315521,1.125039339,3.963399887,16.29548836,16.29010963,67.11139679,67.08110046,299.5275574,2.509768724,8.991539001,101.0590057,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497637787,-8.18878E-06,294.525309,293.8783344,0.401562987,-0.024239222,2.554083031,25.27318583,8.983076193,21.05182171,2.50389161,-0.000892634,1.646262283,0.857629327,-0.000557889,-764.0093015,-1907.461286,63.69827379,4.581134873,-0.591051903,0,2.18349879,0,#DIV/0!,#DIV/0!
152,17:45:18,wheat,1,365.5001277,0,-4.095999161,-0.000837841,-7760.617042,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-1.4129913,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.007686437,0.907775583,21.37516403,2,4.644859791,1,9.289719582,20.72855186,21.37516403,20.02316284,1.128179193,3.863164663,16.2953968,16.29034805,67.10948944,67.08041382,299.5283813,2.518500805,8.994884491,101.0589066,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497641907,-7.68644E-06,294.525164,293.8785519,0.40296012,-0.024303418,2.554060344,25.27298614,8.982638083,21.05185795,2.503897184,-0.000837916,1.646284762,0.857612422,-0.000523691,-784.2794725,-2008.875551,63.6999705,4.458403176,-0.585220796,0,2.1910957,0,#DIV/0!,#DIV/0!
153,17:45:19,wheat,1,367.0001276,0,-3.960438471,-0.000785358,-8005.472335,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-1.346968014,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.007204417,0.907712021,21.37488174,2,4.644859791,1,9.289719582,20.72871208,21.37488174,20.02300644,1.12891078,3.773373365,16.29528427,16.29055214,67.10733032,67.07957458,299.5289612,2.526268482,8.992246628,101.0588303,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497644806,-7.20442E-06,294.5248817,293.8787121,0.404202948,-0.024361389,2.554016164,25.27256805,8.982015907,21.05179691,2.503887796,-0.000785425,1.646304144,0.857583652,-0.000490885,-809.0236698,-2121.5691,63.70209337,4.348911937,-0.580118027,0,2.19785358,0,#DIV/0!,#DIV/0!
154,17:45:20,wheat,1,368.0001275,0,-3.845960423,-0.000760718,-8025.984931,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-1.294530596,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.006977912,0.907652983,21.37467957,2,4.644859791,1,9.289719582,20.72878075,21.37467957,20.02260971,1.130625486,3.698651314,16.29541397,16.29083061,67.10621643,67.07951355,299.5286255,2.526953697,8.983300209,101.0587845,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497643127,-6.97791E-06,294.5246796,293.8787807,0.404312583,-0.024387794,2.553984523,25.27226639,8.981435777,21.05173016,2.503877528,-0.00076078,1.64633154,0.857545988,-0.000475482,-811.0962815,-2169.976094,63.70410125,4.257553714,-0.575455928,0,2.198449717,0,#DIV/0!,#DIV/0!
