Remark=,"""17:41:07 CO2 Mixer -> OFF""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:41:08 Coolers: Tblock -> 20.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:41:08 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17:41:14,wheat,1,121.5001308,0,-69.41127535,-0.002564675,-42932.06614,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-31.03068017,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.023415334,0.903313704,21.34606934,2,4.644859791,1,9.289719582,20.76694298,21.34606934,20.08943748,1.17037797,47.52035141,16.30389786,16.288517,67.03957367,66.98595428,299.5142517,2.534061432,8.896655083,101.0648575,3.083570004,-0.262484014,0,0,0,0,0.25,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497571259,-2.34153E-05,294.4960693,293.916943,0.40544982,-0.018809226,2.549510353,25.2264775,8.9379605,21.05650616,2.504612226,-0.002565383,1.646196649,0.858415577,-0.001603301,-4338.923146,-903.4458893,63.80809203,57.60733207,-0.768825927,0,2.204633446,0,#DIV/0!,#DIV/0!
7,17:41:15,wheat,1,123.0001307,0,-81.25114235,-0.002643865,-48748.17133,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-36.40736138,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.024136608,0.903242925,21.34499931,2,4.644859791,1,9.289719582,20.76644135,21.34499931,20.08335686,1.1765697,55.43008041,16.30340576,16.28755188,67.03434753,66.97870636,299.5289307,2.53362751,8.912389755,101.0649261,3.083570004,-0.262484014,0,0,0,0,0.25,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497644653,-2.41366E-05,294.4949993,293.9164413,0.405380393,-0.018663772,2.549343152,25.22480597,8.93725409,21.05572033,2.504491329,-0.002644618,1.646100228,0.858391101,-0.001652819,-4926.730335,-879.4533756,63.80829449,67.23765342,-0.771070458,0,2.204255934,0,#DIV/0!,#DIV/0!
8,17:41:16,wheat,1,124.0001307,0,-87.89727102,-0.002647688,-52659.48933,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-39.27711601,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.02417124,0.903233787,21.34451294,2,4.644859791,1,9.289719582,20.7656517,21.34451294,20.07621384,1.184208989,59.87599182,16.30275726,16.28688049,67.03076935,66.97407532,299.5264893,2.543005466,8.914916039,101.0649872,3.083570004,-0.262484014,0,0,0,0,0.25,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497632446,-2.41712E-05,294.4945129,293.9156517,0.406880866,-0.018664766,2.549267155,25.22403877,8.93715828,21.05508232,2.504393176,-0.002648443,1.646033368,0.858359808,-0.001655209,-5322.030614,-879.4758588,63.80759339,72.64939309,-0.771997272,0,2.212414756,0,#DIV/0!,#DIV/0!
9,17:41:17,wheat,1,125.0001306,0,-91.65900461,-0.002758179,-52710.38883,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-41.0494223,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.02518168,0.903286058,21.34443092,2,4.644859791,1,9.289719582,20.76470947,21.34443092,20.06925583,1.190651774,62.3944664,16.30277824,16.28623772,67.0284729,66.97078705,299.5256958,2.538543701,8.908461571,101.0649796,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497628479,-2.51817E-05,294.4944309,293.9147095,0.406166983,-0.018533024,2.54925434,25.22391388,8.937676161,21.0545702,2.504314392,-0.002758998,1.645968282,0.858346111,-0.0017243,-5327.174369,-844.7926854,63.8049005,75.71453006,-0.772413652,0,2.20853302,0,#DIV/0!,#DIV/0!
10,17:41:19,wheat,1,126.0001305,0,-93.532644,-0.002907155,-51027.61481,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-41.78219992,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.02654337,0.903324606,21.3445034,2,4.644859791,1,9.289719582,20.7635994,21.3445034,20.06303596,1.192993283,63.64838409,16.30340958,16.2859745,67.02923584,66.9690094,299.5236511,2.54556632,8.906780243,101.0649414,3.083570004,-0.262484014,0,0,0,0,0.25,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497618256,-2.65434E-05,294.4945034,293.9135994,0.407290602,-0.018348527,2.549265665,25.22403545,8.938060952,21.0540514,2.504234584,-0.002908065,1.645941059,0.858293525,-0.001817459,-5157.102901,-801.7110809,63.80293864,77.24072865,-0.77260503,0,2.214642699,0,#DIV/0!,#DIV/0!
11,17:41:20,wheat,1,127.5001304,0,-93.89958419,-0.002962328,-50272.25144,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-42.0559539,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.027048464,0.903363585,21.34464455,2,4.644859791,1,9.289719582,20.76233673,21.34464455,20.05753517,1.194928527,63.89572525,16.30358505,16.2858181,67.03023529,66.96835327,299.5219116,2.539025307,8.912147522,101.0648727,3.083570004,-0.262484014,0,0,0,0,0.25,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497609558,-2.70485E-05,294.4946445,293.9123367,0.40624404,-0.01832611,2.549287719,25.22427081,8.938452706,21.05349064,2.504148323,-0.002963273,1.645924134,0.858224189,-0.00185196,-5080.758694,-786.7858333,63.80147335,77.54139427,-0.772610794,0,2.208952017,0,#DIV/0!,#DIV/0!
12,17:41:21,wheat,1,128.5001304,0,-93.25308088,-0.00292952,-50486.09122,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-41.76061314,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.026749287,0.903378978,21.34478569,2,4.644859791,1,9.289719582,20.76094818,21.34478569,20.05258369,1.193131089,63.46243286,16.3034668,16.2858963,67.03102112,66.96866608,299.520874,2.539187431,8.918094635,101.0647964,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.49760437,-2.67493E-05,294.4947857,293.9109482,0.40626998,-0.018440534,2.549309773,25.22450806,8.938611764,21.05286694,2.504052383,-0.002930444,1.645930795,0.858121588,-0.001831444,-5102.366533,-795.5271954,63.80129175,77.01415077,-0.772542054,0,2.209093065,0,#DIV/0!,#DIV/0!
13,17:41:22,wheat,1,130.0001303,0,-91.35311753,-0.002729867,-53080.04875,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-41.12473143,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.024925656,0.903375198,21.34486008,2,4.644859791,1,9.289719582,20.75876617,21.34486008,20.04614258,1.191867828,62.19260788,16.30243492,16.28606224,67.03170013,66.97145844,299.5198669,2.525345564,8.929349899,101.0647125,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497599335,-2.49257E-05,294.4948601,293.9087662,0.404055281,-0.018851091,2.549321396,25.22464402,8.938581777,21.05181313,2.503890289,-0.00273067,1.645946199,0.857944091,-0.001706597,-5364.519867,-853.4784206,63.8023809,75.46821944,-0.772317996,0,2.197050641,0,#DIV/0!,#DIV/0!
14,17:41:23,wheat,1,131.0001302,0,-89.70254379,-0.00258524,-55040.90514,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-40.48810387,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.023604516,0.903365976,21.34488106,2,4.644859791,1,9.289719582,20.75736046,21.34488106,20.04266739,1.189559221,61.08794022,16.30170059,16.28619576,67.03166199,66.97327423,299.5205688,2.518195152,8.92162323,101.0646515,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497602844,-2.36045E-05,294.4948811,293.9073605,0.402911215,-0.019138048,2.549324675,25.22469169,8.938495935,21.05112076,2.503783797,-0.00258596,1.645958698,0.857825099,-0.00161616,-5562.689896,-901.0109843,63.80335728,74.12368721,-0.77213151,0,2.190829782,0,#DIV/0!,#DIV/0!
15,17:41:24,wheat,1,132.0001301,0,-90.68788373,-0.002496477,-57626.69723,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-41.00829069,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.022791458,0.903270981,21.3443737,2,4.644859791,1,9.289719582,20.7556324,21.3443737,20.03799438,1.189906716,61.74624634,16.30133438,16.2863636,67.02400208,66.96604156,299.5203857,2.513870239,8.913567543,101.0645752,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497601929,-2.27915E-05,294.4943737,293.9056324,0.402219229,-0.019328815,2.5492454,25.22392633,8.937562732,21.05000305,2.503611891,-0.002497148,1.645974419,0.857637472,-0.001560657,-5824.017675,-933.2825985,63.80639509,74.92518484,-0.772299321,0,2.187067108,0,#DIV/0!,#DIV/0!
